Индекс(i)	Узел(xi)	Числ.реш(vi)	Точн.реш(ui)	Погрешность|vi-ui|	Невязка(ri)
127	0.1240234375	11.3843631744	11.3843631744	0.0000000000	0.0000000000
128	0.1250000000	11.4062500000	11.4062500000	0.0000000000	0.0000000000
129	0.1259765625	11.4283084869	11.4283084869	0.0000000000	0.0000000000
130	0.1269531250	11.4505386353	11.4505386353	0.0000000000	0.0000000298
131	0.1279296875	11.4729404449	11.4729404449	0.0000000000	0.0000000596
132	0.1289062500	11.4955139160	11.4955139160	0.0000000000	0.0000000298
133	0.1298828125	11.5182590485	11.5182590485	0.0000000000	0.0000000298
134	0.1308593750	11.5411758423	11.5411758423	0.0000000000	0.0000000298
135	0.1318359375	11.5642642975	11.5642642975	0.0000000000	0.0000000298
136	0.1328125000	11.5875244141	11.5875244141	0.0000000000	0.0000000298
137	0.1337890625	11.6109561920	11.6109561920	0.0000000000	0.0000000298
138	0.1347656250	11.6345596313	11.6345596313	0.0000000000	0.0000000298
139	0.1357421875	11.6583347321	11.6583347321	0.0000000000	0.0000000298
140	0.1367187500	11.6822814941	11.6822814941	0.0000000000	0.0000000298
141	0.1376953125	11.7063999176	11.7063999176	0.0000000000	0.0000000596
142	0.1386718750	11.7306900024	11.7306900024	0.0000000000	0.0000000298
143	0.1396484375	11.7551517487	11.7551517487	0.0000000000	0.0000000000
144	0.1406250000	11.7797851563	11.7797851562	0.0000000000	0.0000000000
145	0.1416015625	11.8045902252	11.8045902252	0.0000000000	0.0000000000
146	0.1425781250	11.8295669556	11.8295669556	0.0000000000	0.0000000298
147	0.1435546875	11.8547153473	11.8547153473	0.0000000000	0.0000000000
148	0.1445312500	11.8800354004	11.8800354004	0.0000000000	0.0000000000
149	0.1455078125	11.9055271149	11.9055271149	0.0000000000	0.0000000298
150	0.1464843750	11.9311904907	11.9311904907	0.0000000000	0.0000000298
151	0.1474609375	11.9570255280	11.9570255280	0.0000000000	0.0000000298
152	0.1484375000	11.9830322266	11.9830322266	0.0000000000	0.0000000000
153	0.1494140625	12.0092105865	12.0092105865	0.0000000000	0.0000000298
